New Sentence, Luganda - Translation,Swahili - Translation,Sentiment code
My husband enjoys watching football on weekends.,Baze anyumirwa okulaba omupiira gw'ebigere ku nkomerero ya wiiki.,Mume wangu hufurahia kutazama mpira wa miguu mwishoni mwa wiki,Pos
It is good that the manager is free in the morning.,Kirungi nti maneja talina bya kukola ku makya.,Uzuri ni kwamba meneja yupo na muda asubuhi ,Pos
It is wrong to ask for other people's opinions concerning this issue.,Kikyamu okusaba abantu abalala bawe endowooza zaabwe ku nsonga eno.,Ni kosa kutaka mawazo ya watu wengine kuhusiana na jambo hili,Neg
My brother felt sad when he woke up late and missed his flight.,Muganda wange/mwannyinaze yawulira ennaku bwe yazuukuka nga buyise n'asubwa olugendo lwe olw'ennyonyi.,Kaka yangu alihuzunika alipochelewa kuamka na kuachwa na ndege,Neg
The company director was disappointed when the secretary wasted all the money.,Dayirekita wa kampuni yeewuunya nga ssaabawandiisi ayonoonye ensimbi zonna.,Mkurugenzi wa kampuni alihuzunishwa katibu muhtasi alivyopoteza fedha zote,Neg
That girl is unfriendly to her classmates.,Omuwala talina nkolagana nnungi ne bayizi banne.,Msichana yule hana urafiki na wanadarasa wenzake,Neg
I appreciate that lady for teaching me helpful things in life.,Nsiima omukyala oyo olw'okunsomesa ebintu eby'omugaso mu bulamu.,Namthamini yule dada kwa kunifundisha mambo ya msingi katika maisha,Pos
We are glad that you made a final decision.,Tuli basanyufu kubanga wakoze okusalawo okw'enkomeredde.,Tuna furaha kwa sababu ulifanya maamuzi ya mwisho,Pos
Everyone at home likes the new maid because she is organised.,Buli omu ewaka ayagala omukozi omupya kubanga ebintu bye abikola mu ngeri entegeke obulungi.,Kila mmoja nyumbani anampenda mfanyakazi mpya,Pos
My children had a good and wonderful time at the zoo.,Abaana bange baafuna olunaku olunyuvu nga bali mu kkuumiro ly'ebisolo.,Watoto wangu walikuwa na muda mzuri katika maonesho ya wanyama,Pos
The children are sad because the heavy rains destroyed the school garden.,Abaana bange banyiikaavu kubanga namutikkwa w'enkuba yayonoonye ennimiro y'essomero.,Watoto wana huzuni kwa sabau mvua kubwa iliharibu bustani ya shule,Neg
My son is the best player on the volleyball team.,Mutabani wange ye muzanyi asinga ku ttiimu y'omupiira gwa ttiimu.,Mtoto wangu wa kiume ni mchezaji bora wa timu ya mpira wa wavu ,Pos
The idea of going to the movies with you sounds great to me.,Ekirowoozo ky'okugenda naawe mu firimu kirabika okuba eky'omuwendo gyendi.,Wazo la kwenda katika sinema ni zuri sana kwangu mimi,Pos
The church leaders are happy that you have given your wife a second chance.,Abakulembeze b'ekkanisa basanyufu kubanga owadde mukyala wo omukisa ogw'okubiri.,Viongozi wa kanisa wana furaha kwa kuwa ulimpa mkeo nafasi nyingine,Pos
You look lovely tonight.,Olabika bulungi ekiro kya leero.,Unaonekana mwenye kupendeza usiku wa leo,Pos
"We are happy that finally, we are heading home.","Tuli basanyufu kubanga ddaaki, tudda waka.",Tuna furaha kwa sababu hatimaye tunaelekea nyumbani,Pos
You did an awesome job on that project.,Wakola omulimu ogw'ettendo ku pulojekiti eyo.,Umefanya kazi nzuri sana katika mradi ule,Pos
Pupils were happy when they were given a two hours break.,Abayizi baali basanyufu nga baweereddwa okuwummula kwa ssaawa bbiri.,Wanafunzi walifurahi walipopewa mapumziko ya saa mbili,Pos
I am relieved that the mechanic fixed the problem in my car.,Mpewuse okuba nga makanika yatereezezza ekizibu ekiri mu mmotoka yange.,Nina amani kwa vile makanika amerekebisha tatizo la gari yangu,Pos
These children love their new sports coach.,Abaana bano baagala omutendesi waabwe ow'ebyemizannyo omuggya.,Watoto hawa wanampenda kocha wao mpya,Pos
Thank you very much for supporting me.,Weebale nnyo kumpagira.,Nashukuru sana kwa kuniunga mkono,Pos
He received bad comments about his son's behavior in school.,Yafuna obubaka bubi obukwata ku nneeyisa ya mutabani we mu ssomero.,Alipata maoni mabaya kuhusiana na tabia ya mtoto wake wa kiume shuleni,Neg
Everyone was happy and cheered the dancers at our school concert.,Buli omu yali musanyufu era n'akubira abazinyi emizira ku kivvulu ky'oku ssomero lyaffe.,Kila mmoja alikufurahi na kushangilia katika tamasha letu shuleni,Pos
My roommate hates her stepmother because she mistreated her.,Munnange gwe nsula naye tayagala nnyina atamuzaala kubanga yamuyisa bubi.,Mkazimwenza wa chumba anamchukia mama yake wa kambo kwa sababu alimnyanyasa,Neg
It was a bad idea for you to join politics at a young age.,Kyali kirowoozo kikyamu gy'oli okuyingirra ebyobufuzi ku myaka emito.,Halikuwa wazo zuri kwako kujiunga na siasa ujanani,Neg
Those two girls hate each other.,Abawala abo ababiri bawalaggana.,Wasichana wale wawili wanachukiana,Neg
Our grandfather was a kind-hearted man.,Jjajjaffe omusajja yali wa kisa.,Babu yetu alikuwa ni mkarimu,Pos
That company abandoned the road project because it didn't have enough money.,Kampuni eyo yasuulawo pulojekiti y'ekkubo kubanga teyalina nsimbi zimala.,Kampuni ile imetelekeza mradi wa barabara kwa sababu haikuwa na fedha ya kutosha,Neg
We are glad that the patient is on her way to the best hospital.,Tuli basanyufu nti omulwadde atwalibwa mu ddwaliro erisinga.,Tuna furaha kwa sababu mgonjwa yupo njiani kuelekea hospitalini,Pos
I am happy that the profits from my business have increased.,Ndi musanyufu okuba ng'amagoba agava mu bizineesi yange geeyongedde.,Nina furaha kwa sababu faida imeongezeka katika biashara yangu,Pos
We are glad that you are free tonight.,Tuli basanyufu nti tolina bya kukola ekiro kya leero.,Tuna furaha kwa kuwa upo na muda unao usiku wa leo,Pos
"Amazingly, she won the post of head girl at school.","Ekyewuunyisa, yawangula ekifo ky'omuyizi akulira abawala ku ssomero.","Ajabu, alishinda nafasi ya udada mkuu shuleni",Pos
The birds look beautiful in the sky when they fly together.,Ebinyonyi bifaanana bulungi mu bwengula nga biseeyeeyeza wamu.,Ndege huwa wenye kupendeza wanaporuka pamoja angan,Pos
Most of the time he feels rejected at work.,Ebiseera ebisinga awulira tasiimibwa olw'ebyo by'akola ku mulimu.,Muda mwingi hujihisi anakataliwa kazini,Neg
The secondary schools in our town have a good standard of education.,Amasomero ga sekendule mu kibuga kyaffe galina omutindo gw'ebyenjigiriza omulungi.,Shule yetu ya sekondari katika mji wetu ina kiwango kizuri cha elimu,Pos
I feel sad that your daughter messed up her life.,Mpulira ennaku okuba nga muwala wo yattattana obulamu bwe.,Nahisi huzuni binti yako amejiharibia maisha yake.,Neg
My mother was happy when I completed my studies.,Mmange yali musanyufu nga mmalirizza emisomo gyange.,Mama yangu alifurahi nilipohitimu masomo yangu.,Pos
The newspaper editor got a disagreement with one of the authors.,Omusunsuzi w'olupapula lw'amawulire yafuna obutakkaanya n'omu ku bawandiisi.,Mhariri wa gazeti hakukubaliana na mmoja wa waandishi.,Neg
Some employees feel frustrated with working night shifts because it is tiresome.,Abakozi abamu basoberwa okukolera mu budde obw'ekiro kubanga kikooya.,Baadhi ya waajiriwa huchanganyikiwa kufanya kazi zamu za usiku kwa sababu zinachosha.,Neg
"Sadly, the young boy stole money from his mother's handbag.","Eky'ennaku, omulenzi yabba ensimbi okuva mu nsawo ya nnyina ey'omu ngalo.","Inasikitisha, mvulana ameiba fedha katika mkoba wa mama yake.",Neg
Their plans failed when she lost her job.,Enteekateeka zaabwe zaagwa butaka ng'afiiriddwa omulimu gwe.,Mipango yao ilishindikana alipopoteza kazi yake.,Neg
I am are glad that we settled all the misunderstandings we had between us.,Ndi musanyufu nti twatereeza obutakkaanya bwonna bwe twalina wakati waffe.,Nina furaha kwa sababu tumetatua migogoro tuliykuwa nayo kati yetu.,Pos
Everyone clapped their hands in joy when the talent show ended successfully.,Buli omu yakuba mu ngalo mu ssanyu ng'omwoleso gw'ebitone guwedde bulungi.,Kila mmoja alipiga makofi kwa furaha maonesho ya vipaji yalivyoisha vizuri.,Pos
My brother has bad friends who mislead him into stealing.,Muganda wange/mwannyinaze alina emikwano emibi egimuwabya ne gimuyingiza obubbi.,Kaka yangu ana marafiki wabaya ambao wanampotosha katika wizi.,Neg
My pastor loves visiting the sick in the hospital over the weekend.,Omusumba wange ayagala okukyalira abalwadde mu ddwaliro ku nkomerero ya wiiki.,Mchungaji wangu anapenda kwenda kuwaona wagonjwa hospitalini mwishoni mwa wiki.,Pos
We are happy that it rained yesterday.,Tuli basanyufu nti enkuba yatonnye olunaku lw'eggulo.,Tuna furaha kwa vile ilinyesha jana.,Pos
People were unhappy when their contestants failed to make it to the finals.,Abantu tebaabadde basanyufu ng'abantu baabwe abavuganya balemeddwa okutuuka ku mpaka ez'akamalirizo.,Watu hawakuwa na furaha wakati washindani wao waliposhindwa fainali.,Neg
She felt a lot of pain when she accidentally banged her head on the wall.,Yawulira obulumi bungi ng'akubye omutwe gwe ku kisenge mu butanwa.,Alihisi maumivu makali alijigongwa kichwa chake ukutani kwa bahati mbaya.,Neg
It is difficult for me to learn a foreign language.,Kinzibuwalira okuyiga olulimi olw'okubiri.,Ni changamoto kwangu mimi kujifunza lugha ya kigeni.,Neg
My grandfather got depressed when the thieves stole his ten cows.,Jjajjange omusajja yafuna ekyobeera ng'ababbi babbye ente ze ekkumi.,Babu yangu alisikitika wezi walipoiba ng'ombe wake kumi.,Neg
Those children love spending their Christmas holidays at their grandmother's home.,Abaana abo baagala nnyo okumala oluwummula lwabwe olwa ssekukkulu nga bali wa jjajjaabwe omukyala.,Watoto wale wanapenda kusheherekea sikukuu yao Krismasi nyumbani kwa bibi yao.,Pos
The music show was so boring.,Ekivvulu ky'ennyimba kyabadde kibowa.,Tamasha la mziki lilipoa sana.,Neg
The heavy rains spoiled our school trip.,Namutikwa w'enkuba yayonoonye olugendo lwaffe ku ssomero.,Mvua kubwa ilikatisha safari yetu ya shuleni.,Neg
She failed to get an explanation for the loss in the business.,Yalemeddwa okufuna eky'okuddamu ku kufiirizibwa okwabaddewo mu bizineesi.,Alishindwa kupata maelezo kuhusu hasara ya biashara.,Neg
It is hard for me to forgive him for hurting me.,Kinzibuwalira okumusonyiwa olw'okunnumya.,Ni vigumu kwangu mimi kumsamehe kwa kuniumiza.,Neg
I had a bad and scary dream last night.,Nafunye ekirooto ekibi era eky'entiisa ekiro ekyayise.,Nilikuwa na ndoto mbaya na yenye kutisha usiku wa jana.,Neg
"I am sorry, the manager rejected your loan application.","Nsaasira, maneja teyakkirizza kusaba kwo okw'okuwolebwa ensimbi.","Pole, meneja amekataa maombi yako ya mkopo.",Neg
It is unhealthy to dump rubbish in water sources.,Si kya buyonjo okusuula ebisaaniiko mu bifo omukimwa amazzi.,Si vizuri kiafya kutupa takataka katika vyanzo vya maji.,Neg
He refused to answer my phone calls.,Yagaanye okukwata essimu zange.,Aligoma kupokea simu yangu.,Neg
We are sorry for putting you into trouble.,Tusaasire olw'okukuteeka mu mitawaana.,Tunaomba radhi kwa kukuingiza matatizoni.,Neg
I felt relieved when the newspaper ran our advert last week.,Nawulira nga mpewuse ng'olupapula lw'amawulire lufulumizza akalango kaffe wiiki ewedde.,Nilijihisi amani gazeti lilipotumia tangazo letu wiki iliyopita.,Pos
My baby sucks her thumb whenever she gets hungry and tired.,Omwana wange anuuna ekigalo kye buli lw'awulira nga muyala era ng'akooye.,Mtoto wangu ananyonya kidole chake gumba anapokuwa njaa na amechoka.,Neg
I feel bad when it rains on Sunday.,Mpulira bubi ng'enkuba etonnye ku Ssande.,Huwa najisikia vibaya inaponyesha Jumapili.,Neg
We are glad that the swimming pool is open to the public.,Tuli basanyufu nti ekidibwa ekiwugibwamu kiggule eri abantu bonna.,Tunafurahi kwa kuwa bwawa la kuogelea lipo wazi kwa umma.,Pos
She is angry at her husband for returning home at midnight.,Munyiivu eri bba olw'okudda ewaka ekiro mu ttumbi.,Ana hasira kwa mumewe kwa kurudi nyumbani usiku wa manane.,Neg
He was happy when he saw our childhood photo.,Yali musanyufu ng'alabye ekifaananyi ky'obuto bwaffe.,Alifurahi alipoona picha zetu za utotoni.,Pos
I was about to leave when I heard the bad news of his death.,Nali naatera okugenda bwe nawulira amawulire amabi ag'okufa kwe.,Nilikuwa nakaribia kuondoka niliposikia taarifa mbaya ya kifo chake.,Neg
We are glad that the plane arrived earlier than we expected.,Tuli basanyufu okuba ng'ennyonyi yatuuse mangu okusinga bwe twabadde tusuubira.,Tunafurahi kwa kuwa ndege iliwasili mapema kuliko tulivyotarajia ,Pos
"Amazingly, she drew those beautiful pictures on her own.","Ekyewuunyisa, ye yeekubira ebifaananyi ebyo ebirungi.","Ajabu, alichora pica zote mzuri yeye mwenyewe. ",Pos
Thank you for your love and support.,Weebale nnyo olw'okwagala kwo n'obuwagizi bwo.,Nashukuru kwa upendo wako na kuniunga mkono.,Pos
"In the village, the children enjoy sitting around the fire at night.","Mu kyalo, abaana banyumirwa okutuula kumpi n'omuliro mu kiro.","Kijijini, watoto wanafurahi kuota moto kipindi cha usiku.",Pos
The young boy enjoys showering because he feels refreshed.,Omulenzi anyumirwa okunaaba kubanga awulira ng'azze buggya.,Mtoto mdogo wa kiume hufurahia kuoga bomba la mvua kwa sababu hujihisi kuburudika. ,Pos
His bad-mannered landlord chased him from the house.,Nnannyini nnyumba ye ow'empisa embi yamugobye mu nnyumba.,Kwa tabia yake mbaya mwenye nyumba alimfukuza katika nyumba yake. ,Neg
You are blessed to be among the people going to France.,Oli wa mukisa okuba mu bantu abagenda e Bufransa.,Umebarikiwa kuwa kuwa miongoni mwa watu waendao Ufaransa.,Pos
I got good cooking skills from my mother.,Nayiga obukodyo bw'okufumba obulungi okuva ku mmange.,Nimepata ujuzi mzuri wa kupika kutoka kwa mama yangu.,Pos
He was shot dead on his birthday.,Yakubwa essasi n'afa ku mazaalibwa ge.,Aliuwawa kwa kupigwa risasi siku ya kumbukizi yake ya kuzakiwa.,Neg
Our mother quarreled when breakfast was not ready by the time she woke up.,Nnyaffe yayomba ng'ekyenkya tekinaggya mu kiseera we yazuukukira.,Mama yetu aligomba chai ilipokuwa bado muda ambao alipoamka.,Pos
The foot surgery she underwent was too painful.,Okulongoosebwa akagere kwe yayitamu kwali kuluma nnyo.,Upasuaji wa goti aliofanyiwa ulikuwa wa uchungu sana.,Neg
I am happy that more people are interested in this agricultural project.,Ndi musanyufu nti abantu abawera beeyunira pulojekiti eno ey'obulimi.,Nina furaha kwa sababu watu wengi wanavutiwa na mradi huu wa kilimo.,Pos
She built a beautiful house for her grandparents.,Yazimbira bajjajjaabe ennyumba ennungi.,Aliwajengea nyumba mzuri bibi na babu yake.,Pos
We were disappointed when our presidential candidate lost the election.,Twasoberwa ng'omuntu waffe eyeesimbyewo ku bwapulezidenti akalulu kamumezze.,Tulikata tamaa mgombea wetu wa urais alivyoshindwa uchaguzi.,Neg
The company has failed to get a person with good managerial skills.,Kampuni eremereddwa okufuna omuntu alina obukugu bw'obwamaneja obulungi.,Kampuni imeshindwa kupata mtu mwenye ujuzi mzuri wa usimamizi.,Neg
"This movie is interesting, please watch it.","Firimu enyuma, bambi girabe.","Filamu hii nu nzuri, tafadhali itazame.",Pos
I am happy and blessed to share a birth date with my husband.,Ndi musanyufu era wa mukisa okuba nga ngabana olunaku lw'amazaalibwa ne baze.,Nina furaha na kubarikiwa kuwa na siku sawa ya kuzaliwa na mume wangu.,Neg
He failed to get another job after losing the first one.,Yalemererwa okufuna omulimu omulala oluvannyuma lw'okufiirwa ogwasooka.,Alishindwa kupata kazi nyingine baada ya kupoteza ie ya kwanza.,Neg
We had lunch in the best restaurant in this town.,Twalidde ekyemisana mu kiriiro ekisinga mu kibuga kino.,Tulipata chakula cha mchana katika mgawaha bora hapa mjini.,Pos
I enjoyed working from home during the lockdown.,Nanyumirwa okukolera ewaka mu muggalo.,nilifurahia kufanyia kazi nyumbani kipindi cha zuio la kutokutoka nje.,Pos
My sister got angry when her best friend stole the blanket.,Muganda wange/mwannyinaze yanyiiga nga mukwano gwe nfiirabulago abbye bulangiti.,Dada yangu alikasirika rafiki yake alipoiba blanketi.,Neg
My neighbour got angry when her underage daughter was forced into marriage.,Muliraanwa wange yanyiiga nga muwala we atanneetuuka akakiddwa mu bufumbo.,Jirani yangu alikasirika binti yake alivolazimishwa kuolewa.,Neg
We are happy that we can download music for free on the internet.,Tuli basanyufu nti tusobola okuwanula ennyimba ku bwereere ku yintaneeti.,Tunafurahi kwa kuwa tunaweza kupakua mziki bure mtandaoni.,Pos
Our teacher was upset when his phone was stolen.,Omusomesa waffe yeesansabaga ng'essimu ye ebbiddwa.,Mwalimu wetu alikasirika simu yake ilipoibwa.,Neg
Today I am frustrated with this hot weather.,Olwaleero nsobeddwa olw'embeera y'obudde eno ey'ebbugumu.,Leo nimechanganyikiwa na hii halijoto ya hewa.,Neg
It annoys me when you keep on sending me those text messages.,Kinnyiiza bw'osigala ng'ompeereza obubaka obwo.,Huwa inaniudhi unapoendelea kunitumia huo ujumbe mfupi.,Neg
We are sad that this is our last meal together.,Tuli banakuwavu nti kino ky'ekijjulo kyaffe ekisembayo nga tuli wamu.,Tunahuzuni kwa kuwa huu ni mlo wetu wa mwisho pamoja.,Neg
I am happy that the pain in my back reduced.,Ndi musanyufu nti obulumi mu mugongo gwange bwakendedde.,Nina furaha kwa sababu maumivu ya mgongo wangu yamepungua.,Pos
We are glad that the company director greeted us this morning.,Tuli basanyufu nti dayirekita wa kampuni yatubuuzizza ku makya ga leero.,Tunafurahi kwa sababu mkurugenzi wa kampuni alitusalimu asubuhi hii.,Pos
The trainer at that gym is a loving and kind man.,Omutendesi mu kifo ewakolerwa dduyiro musajja alina okwagala n'ekisa.,Mkufunzi wa katika ukumbi wa mazoezi ni mwenye upendo na mkarimu.,Pos
"Sadly, my neighbor's son is also among the group of boys that steal.","Eky'ennaku, mutabani wa muliraanwa wange ye omu ku kibinja ky'abavubuka abakola ogw'obubbi.","Huzuni, mtoto wa kiume wa jirani yangu pia ni miongoni mwa kundi la wavulana wezi.",Neg
All the time he spent in the garden planting during weekends was wasted.,Obudde bwonna bwe yamala mu nnimiro ng'asiga ensigo ku nkomerero ya wiiki bwafa ttogge.,Muda wote alioutumia katika kupanda bustani mwishoni mwa juma ni kazi bure.,Neg
I had the worst day at work today.,Leero nabadde n'olunaku olukyasinze okumbeerera olubi ku mulimu.,Nilikuwa na siku mbaya sana leo kazini.,Neg
Our mother feels uncomfortable when my brother's friends come to our home every day.,Nnyaffe awulira nga tateredde nga mikwano gya muganda waffe/mwannyinaffe gizze ewaffe buli lunaku.,Mama yetu hukosa amani marafiki wa kaka yetu wanapokuja nyumbani kila siku.,Neg
The two young girls were excited when I greeted them.,Obuwala obubiri bwasanyuse nga mbubuuzizza.,Mabinti wadogo wawili walishangaa nilipowasalimu.,Pos
My daughter feels sad whenever she wakes up late.,Muwala wange awulira ennaku buli lw'azuukuka ng'obudde buyise.,Binti yangu huhuzunika anapochelewa kuamka.,Neg
You are the best photographer in our town.,Ggwe mukubi w'ebifaananyi asinga mu kibuga kyaffe.,Wewe ni mpiga picha bora katika mji wetu.,Pos
The boy who was mistreated hates his family.,Omulenzi eyatulugunyizibwa tayagala famire ye.,Mvulana aliyenyanyaswa anaichukia familia yake.,Neg
I am glad you remembered my birthday.,Ndi musanyufu nti wajjukidde amazaalibwa gange.,Ninafurahi ulikumbuka kumbukizi ya siku yangu ya kuzaliwa.,Pos
It's good that he put effort into finishing the project on time.,Kirungi nti yateekamu amaanyi mu kumaliriza pulojekiti mu budde.,Ni vizuri kwa kuwa ameweka nguvu katika kumaliza kazi mradi ndani ya muda.,Pos
He was happy when I stapled all the papers together.,Yali musanyufu nga ng'empapula zonna ndirippye wamu.,Alifurahi nilipozibana karatasi zote pamoja.,Pos
The extra classes my nephew attends at school are so helpful.,Amasomo amalala ag'ennyongereza mutabani/muwala wange g'agendamu ku ssomero ga mugaso nnyo.,Masomo ya ziada mpwa wangu anayohudhuria yanasaidia.,Pos
I love this photo.,Njagala ekifaananyi kino.,Naipenda picha hii,Pos
The old man was very sad when he realised that his money was stolen.,Omusajja omukadde yali munyiivu nnyo bwe yakitegeera nti ensimbi ze zabbiddwa.,Mzee alikasirika alipotambua pesa yake imeibwa.,Neg
They failed to get those textbooks in this town.,Baalemererwa okufuna obutabo obwo mu kibuga kino.,Walishindwa kupata vitabu vyote hivyo hapa mjini.,Neg
I enjoy working with you.,Nnyumirwa okukola naawe.,Nafuahi kufsnys kazi na wewe.,Pos
My sister cried when her computer was stolen last night.,Muganda wange/mwannyinaze yakaabye nga kompyuta ye ebbiddwa ekiro ekyayise.,Mama yangu alilia kompyuta yake ilipoibwa jana usiku.,Neg
We had a wonderful morning with our new manager.,Twabadde n'amakya amalungi nga tuli ne maneja waffe omuggya.,Tulikuwa na asubuhi murua pamoja na meneja wetu mpya.,Pos
Most of the roads in that town are in very bad condition. ,Amakubo agasinga obungi mu kibuga ekyo gali mu mbeera mbi.,Barabara nyingi hapa mjini ni mbovu.,Neg
He was happy when I offered him a cup of tea.,Yali musanyufu nga mmuwadde ekikopo kya caayi.,Aifurahi nilipompatia kikombe cha chai.,Pos
We were disappointed when you acted weird at the graduation party last Sunday.,Kyatwewuunyisa nga weekoze ekyetere ku kabaga k'amatikkira akaaliwo ku Ssande ewedde.,Tulistaajabu ulivyofanya vituko katika katika sherehe ya mahafali Jumapili iliyopita.,Neg
I am happy that my son is popular at school.,Ndi musanyufu nti mutabani wange mwatiikirivu ku ssomero.,Ninafurahi kwa vile mtoto wangu ni maarufu shuleni.,Pos
The secretary's new hairstyle is bad.,Omusono gw'enviiri omupya ogwa ssaabawandiisi mubi.,Mtindo mpya wa nywele za katibu muhtasi ni mbaya.,Neg
We enjoyed meeting the children at the orphanage.,Twanyumirwa okusisinkana abaana mu maka ga bamulekwa.,Tulifurahia kukutana na watoto katika kituo cha watoto yatima.,Pos
I was very happy when my husband bought me a cosmetics shop.,Nali musanyufu nnyo nga baze angulidde edduuka ly'ebyokwewunda.,Nilifurahi mume wangu aliponinunulia mkebe wa vipodozi.,Pos
They were glad when their son passed the driving test.,Baali basanyufu nga mutabani waabwe ayise ekigezo ky'okuvuga.,Walifurahi mtoto wao wa kiume alivyofaulu jaribio la udereva.,Pos
We are happy because the construction of our main road will begin tomorrow.,Tuli basanyufu kubanga okuzimba ekkubo lyaffe kujja kutandika enkya.,Tunafuraha kwa sababu ujenzi wa barabara yetu kuu utaanza kesho.,Pos
People were angry when the music launch was postponed.,Abantu baali banyiivu ng'ekivvulu ky'okutongoza oluyimba kyongezeddwayo.,Watu walikasirika pindi utambulisho wa mziki ulipoahirishwa.,Neg
I love your new car.,Njagala emmotoka yo empya.,Nalipenda gari lako jipya.,Pos
"Unfortunately, we have had enough of your gossiping.","Eky'omukisa omubi, e??ambo zo tuzifunye ekimala.","Kwa bahati mbaya, tuna tetesi zako nyingi.",Neg
I am glad you realised that you had made a wrong decision.,Ndi musanyufu nti wakiraba nti wali okoze okusalawo okukyamu.,Nina furaha umetambua haukufanya maamuzi sahihi.,Pos
It is good to hold on to what you have got.,Kirungi okunyweza ekyo ky'ofunye.,Ni vizuri kukitunza kitu ulichokipata.,Pos
We are glad that the president is coming to our town today.,Tuli basanyufu nti pulezidenti ajja mu kibuga kyaffe olwaleero.,Tunafuraha kwa kuwa Rais anakuja katika mji wetu leo.,Pos
I hate the jokes of that comedian.,Saagala katemba w'oyo munnakatemba.,Sipendi vichekesho vya mchekeshaji yule.,Neg
"Unfortunately, she missed her lessons this morning.","Eky'omukisa omubi, yasubiddwa amasomo ge amakya ga leero.","Kwa bahati mbaya, amekosa masomo yake asubuhi hii.",Neg
Every morning I greet my grandmother with excitement and affection.,Buli ku makya mbuuza jjajjange omukyala n'essanyu awamu n'okwagala.,Kila asubuhi namsalimu bibi yangu kwa furaha na bashasha.,Pos
We were disappointed when you refused to reply to our messages.,Kyatwewuunyisa ng'ogaanye okuddamu obubaka bwaffe.,Tulikata tamaa ulipokataa kujibu ujumbe wetu.,Neg
I got afraid when my children took a long time to get back home.,Nafuna okweraliikirira ng'abaana bange batutte ebbanga ggwanvu okudda ewaka.,Nilipatwa na hofu mtoto wangu alivyochelewa sana kurudi nyumbani.,Neg
He is the best swimmer in our school.,Ye muwuzi asinga mu ssomero lyaffe.,Yeye ni muogeleaji bora shuleni kwetu.,Pos
This Friday night was very boring.,Ekiro ky'Olwokutaano luno kyabadde kibowa.,Usiku wa ijumaa hii ulikuwa umepoa sana.,Neg
We enjoy eating supper together as a family.,Tunyumirwa okulya ekyeggulo nga tuli wamu nga famire.,Tunafurahi kula chakula cha jioni pamoja kama familia.,Pos
It is good that he installed an alarm system in his house.,Kirungi nti yateeka ebide mu nnyumba ye.,Ni vizuri  kwa kuwa amsakinisha mfumo wa kengele nyumbani kwake. ,Pos
You are blessed that you survived that accident without any injury.,Oli wa mukisa okuba nga wasimattuse akabenje ako nga tofunye kisago kyonna.,Umebarikiwa kwa kuwa umenusurika katika ajali ile bila ya kuumia.,Pos
The patient received the best cancer treatment in that hospital.,Omulwadde yafuna obujjanjabi bwa kookolo obukyasinze mu ddwaliro eryo.,Mgonjwa alipewa matibabu bora ya ya saratani.,Pos
She was disappointed when I didn't choose her among my bridesmaids.,Kyamwewuunyisa nga simulonze okuba omu ku mperekeze zange.,Alikata tamaa nilipokuwa sijamchagua miongoni mwa wachumba zangu.,Neg
