id,english,luganda
MRK918,"And wheresoever he taketh him, he teareth him: and he foameth, and gnasheth with his teeth, and pineth away: and I spake to thy disciples that they should cast him out; and they could not.","buli gy'amutwala, amukuba ebigwo; abimba ejjovu, aluma amannyo, akonvuba: ŋŋambye abayigirizwa bo bamugobe; ne batayinza."
MRK919,"He answereth him, and saith, O faithless generation, how long shall I be with you? how long shall I suffer you? bring him unto me.","N'abaddamu, n'agamba nti Mmwe ab'emirembe egitakkiriza, ndituusa wa okubeera nammwe? ndituusa wa okubagumiikiriza? mumundeetere."
MRK920,"And they brought him unto him: and when he saw him, straightway the spirit tare him; and he fell on the ground, and wallowed foaming.","Ne bamuleeta gy'ali: awo bwe yamulaba, amangu ago dayimooni n'amutaagulataagula nnyo; n'agwa wansi, ne yeekulungula, ng'abimba ejjovu."
MRK921,"And he asked his father, How long is it ago since this came unto him? And he said, Of a child.",N'abuuza kitaawe nti Obulwadde buno kasookedde bumukwata bbanga ki? N'agamba nti Bwa mu buto.
MRK922,"And ofttimes it hath cast him into the fire, and into the waters, to destroy him: but if thou canst do any thing, have compassion on us, and help us.","Emirundi mingi ng'amusuula mu muliro ne mu mazzi okumutta: naye oba ng'oyinza, tusaasire, otubeere."
MRK923,"Jesus said unto him, If thou canst believe, all things are possible to him that believeth.",Yesu n'amugamba nti Oba ng'oyinza! byonna biyinzika eri akkiriza.
MRK924,"And straightway the father of the child cried out, and said with tears, Lord, I believe; help thou mine unbelief.","Amangu ago kitaawe w'omwana n'ayogerera waggulu, n'agamba nti Nzikirizza: saasira obutakkiriza bwange."
MRK925,"When Jesus saw that the people came running together, he rebuked the foul spirit, saying unto him, Thou dumb and deaf spirit, I charge thee, come out of him, and enter no more into him.","Awo Yesu bwe yalaba ng'ekibiina kikuŋŋaana mbiro, n'aboggolera dayimooni, n'amugamba nti Ggwe dayimooni atayogera, era omuggavu w'amatu, nze nkulagira, muveeko, tomuddiranga nate n'akatono."
MRK926,"And the spirit cried, and rent him sore, and came out of him: and he was as one dead; insomuch that many said, He is dead.","Awo n'akaaba, n'amutaagula nnyo, n'amuvaako; n'afaanana ng'afudde; n'okugamba abalala bangi ne bagamba nti Afudde."
MRK927,"But Jesus took him by the hand, and lifted him up; and he arose.","Naye Yesu n'amukwata ku mukono, n'amuyimusa; n'ayimirira."
MRK928,"And when he was come into the house, his disciples asked him privately, Why could not we cast him out?","Awo bwe yayingira mu nnyumba, abayigirizwa be ne bamubuuza mu kyama nti Ffe tetwayinzizza kumugoba."
MRK929,"And he said unto them, This kind can come forth by nothing, but by prayer and fasting.",N'abagamba nti Engeri eno teyinzika kuvaako lwa kigambo wabula olw'okusaba.
MRK930,"And they departed thence, and passed through Galilee; and he would not that any man should know it.","Ne bavaayo, ne bayita mu Ggaliraaya, n'atayagala muntu yenna kutegeera."
MRK931,"For he taught his disciples, and said unto them, The Son of man is delivered into the hands of men, and they shall kill him; and after that he is killed, he shall rise the third day.","Kubanga yayigiriza abayigirizwa be n'abagamba nti Omwana w'omuntu aweebwayo mu mikono gy'abantu, balimutta; kale bw'alimala okuttibwa, era waliyita ennaku ssatu n'azuukira."
MRK932,"But they understood not that saying, and were afraid to ask him.","Naye tebaategeera kigambo ekyo, ne batya okumubuuza."
MRK933,"And he came to Capernaum: and being in the house he asked them, What was it that ye disputed among yourselves by the way?",Ne batuuka e Kaperunawumu: awo bwe yali ng'ali mu nnyumba n'ababuuza nti Mubadde muwakana ki mu kkubo?
MRK934,"But they held their peace: for by the way they had disputed among themselves, who should be the greatest.",Naye ne basirika: kubanga baali bawakana bokka na bokka mu kkubo nti ani omukulu.
MRK935,"And he sat down, and called the twelve, and saith unto them, If any man desire to be first, the same shall be last of all, and servant of all.","N'atuula, n'ayita ekkumi n'ababiri, n'abagamba nti Omuntu bw'ayagala okuba ow'olubereberye, anaabanga ku nkomerero ya bonna, era muweereza wa bonna."
MRK936,"And he took a child, and set him in the midst of them: and when he had taken him in his arms, he said unto them,","N'addira omwana omuto, n'amuyimiriza wakati mu bo: awo n'amuwambaatira n'abagamba nti"
MRK937,"Whosoever shall receive one of such children in my name, receiveth me: and whosoever shall receive me, receiveth not me, but him that sent me.","Buli anakkirizanga omu ku baana abato abaliŋŋanga ono, mu linnya lyange, ng'akkirizza nze: na buli muntu yenna anzikiriza nze, takkiriza nze, wabula oli eyantuma."
MRK938,"And John answered him, saying, Master, we saw one casting out devils in thy name, and he followeth not us: and we forbad him, because he followeth not us.","Awo Yokaana n'amugamba nti Omuyigiriza, twalaba omuntu ng'agoba dayimooni mu linnya lyo; ne tumugaana, kubanga teyayita naffe."
MRK939,"But Jesus said, Forbid him not: for there is no man which shall do a miracle in my name, that can lightly speak evil of me.",Naye Yesu n'agamba nti Temumugaananga: kubanga tewali muntu anaakolanga eky'amagero mu linnya lyange ate amangu ago n'anvuma.
MRK940,For he that is not against us is on our part.,Kubanga atali mulabe waffe ng'ali ku lwaffe.
MRK941,"For whosoever shall give you a cup of water to drink in my name, because ye belong to Christ, verily I say unto you, he shall not lose his reward.","Kubanga buli muntu anaabanywesanga mmwe ekikompe ky'amazzi kubanga muli ba Kristo, mazima mbagamba nti talibulwa mpeera ye n'akatono."
MRK942,"And whosoever shall offend one of these little ones that believe in me, it is better for him that a millstone were hanged about his neck, and he were cast into the sea.","Na buli muntu aneesittazanga omu ku abo abato abanzikiriza, waakiri oyo okusibibwa olubengo olunene mu bulago bwe asuulibwe mu nnyanja."
MRK943,"And if thy hand offend thee, cut it off: it is better for thee to enter into life maimed, than having two hands to go into hell, into the fire that never shall be quenched:","Omukono gwo bwe gukwesittazanga, ogutemangako; waakiri ggwe okuyingira mu bulamu, ng'obuliddwako ekitundu, okusinga okugenda mu Ggeyeena ng'olina emikono gyombi, mu muliro ogutazikira;"
MRK944,"Where their worm dieth not, and the fire is not quenched.",envunyu yaabwe gye tefiira so n'omuliro teguzikira.
MRK945,"And if thy foot offend thee, cut it off: it is better for thee to enter halt into life, than having two feet to be cast into hell, into the fire that never shall be quenched:","N'okugulu kwo bwe kukwesittazanga, okutemangako: waakiri ggwe okuyingira mu bulamu ng'obuliddwako okugulu, okusinga okusuulibwa mu Ggeyeena, ng'olina amagulu gombi;"
MRK946,"Where their worm dieth not, and the fire is not quenched.",envunyu yaabwe gye tefiira so n'omuliro teguzikira.
MRK947,"And if thine eye offend thee, pluck it out: it is better for thee to enter into the kingdom of God with one eye, than having two eyes to be cast into hell fire:","N'eriiso lyo bwe likwesittazanga, oliggyangamu; waakiri ggwe okuyingira mu bwakabaka bwa Katonda ng'oli wa ttulu, okusinga okusuulibwa mu Ggeyeena, ng'olina amaaso gombi;"
MRK948,"Where their worm dieth not, and the fire is not quenched.","envunyu yaabwe gye tefiira, so n'omuliro teguzikira."
MRK949,"For every one shall be salted with fire, and every sacrifice shall be salted with salt.",Kubanga buli muntu alirungibwamu omuliro.
MRK950,"Salt is good: but if the salt have lost his saltness, wherewith will ye season it? Have salt in yourselves, and have peace one with another.","Omunnyo mulungi: naye omunnyo bwe guggwaamu ensa mulizzaamu ki? Mmwe mubeere n'omunnyo munda wammwe, mutabagane mwekka na mwekka."
MRK121,"And he began to speak unto them by parables. A certain man planted a vineyard, and set an hedge about it, and digged a place for the winefat, and built a tower, and let it out to husbandmen, and went into a far country.","N'atanula okwogerera nabo mu ngero. Omuntu yasimba olusuku lw'emizabbibu, n'alusibako olukomera, n'asimamu essogolero, n'azimbamu ekigo, n'alupangisaamu abalimi, n'atambula mu nsi endala."
MRK122,"And at the season he sent to the husbandmen a servant, that he might receive from the husbandmen of the fruit of the vineyard.","Awo omwaka bwe gwatuuka n'atuma omuddu eri abalimi, abalimi bamuwe ebibala by'emizabbibu gye."
MRK123,"And they caught him, and beat him, and sent him away empty.","Ne bamukwata, ne bamukuba, n'addayo ngalo nsa."
MRK124,"And again he sent unto them another servant; and at him they cast stones, and wounded him in the head, and sent him away shamefully handled.","Ate n'abatumira omuddu omulala, oyo ne bamwasa olubale, ne bamuswaza."
MRK125,"And again he sent another; and him they killed, and many others; beating some, and killing some.","N'atuma omulala; oyo ne bamutta: n'abalala bangi; abamu nga babakuba, abalala nga babatta."
MRK126,"Having yet therefore one son, his wellbeloved, he sent him also last unto them, saying, They will reverence my son.","Yali ng'alina omu, omwana omwagalwa: oluvannyuma n'amutuma gye baali, ng'agamba nti Banassaamu ekitiibwa omwana wange."
MRK127,"But those husbandmen said among themselves, This is the heir; come, let us kill him, and the inheritance shall be our's.","Naye abalimi bali ne bagambagana bokka na bokka nti Ono ye musika, kale tumutte, n'obusika buliba bwaffe."
MRK128,"And they took him, and killed him, and cast him out of the vineyard.","Ne bamukwata, ne bamutta, ne bamusuula ebweru w'olusuku lw'emizabbibu."
MRK129,"What shall therefore the lord of the vineyard do? he will come and destroy the husbandmen, and will give the vineyard unto others.","Kale alibakola atya nannyini lusuku lw'emizabbibu? Alijja alizikiriza abalimi, n'olusuku lw'emizabbibu aliruwa balala."
MRK1210,And have ye not read this scripture; The stone which the builders rejected is become the head of the corner:,"Temusomanga n'akatono ekyo ekyawandiikibwa nti Ejjinja abazimbi lye baagaana, Eryo lyafuulibwa omutwe ogw'oku nsonda:"
MRK1211,"This was the Lord's doing, and it is marvellous in our eyes?","Ekyo kyava eri Mukama, Era kya kitalo mu maaso gaffe?"
MRK1212,"And they sought to lay hold on him, but feared the people: for they knew that he had spoken the parable against them: and they left him, and went their way.","Ne basala amagezi okumukwata; ne batya ebibiina: kubanga baategeera ng'ageredde ku bo olugero olwo: ne bamuleka, ne bagenda."
MRK1213,"And they send unto him certain of the Pharisees and of the Herodians, to catch him in his words.",Ne batuma gy'ali ab'omu Bafalisaayo n'Abakerodiyaani okumutega mu bigambo.
MRK1214,"And when they were come, they say unto him, Master, we know that thou art true, and carest for no man: for thou regardest not the person of men, but teachest the way of God in truth: Is it lawful to give tribute to Caesar, or not?","Awo bwe bajja, ne bamugamba nti Omuyigiriza, tumanyi ggwe ng'oli wa mazima, so ebigambo by'omuntu yenna tobissaako mwoyo: kubanga tososola mu bantu, naye oyigiriza ekkubo lya Katonda mu mazima: kale kirungi okuwanga Kayisaali omusolo, nantiki si weewaawo?"
MRK1215,"Shall we give, or shall we not give? But he, knowing their hypocrisy, said unto them, Why tempt ye me? bring me a penny, that I may see it.","Tuwengayo, oba tetuwangayo? Naye bwe yategeera bunnanfuusi bwabwe, n'abagamba nti Munkemera ki? Mundeetere eddinaali, ngirabe."
MRK1216,"And they brought it. And he saith unto them, Whose is this image and superscription? And they said unto him, Caesar's.",Ne bagireeta. N'abagamba nti Ekifaananyi kino n'obuwandiikeko buno by'ani? Ne bamugamba nti Bya Kayisaali.
MRK1217,"And Jesus answering said unto them, Render to Caesar the things that are Caesar's, and to God the things that are God's. And they marvelled at him.","Yesu n'abagamba nti Ebya Kayisaali mumuwenga Kayisaali, n'ebya Katonda mumuwenga Katonda. Ne bamwewuunya nnyo."
MRK1218,"Then come unto him the Sadducees , which say there is no resurrection; and they asked him, saying,","Awo Abasaddukaayo, abagamba nti tewali kuzuukira, ne bajja w'ali; ne bamubuuza ne bagamba nti"
MRK1219,"Master, Moses wrote unto us, If a man's brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.","Omuyigiriza, Musa yatuwandiikira nti Muganda w'omuntu bw'afanga, n'aleka mukazi we, nga talese mwana, muganda we atwalanga mukazi we, n'assizaawo muganda we ezzadde."
MRK1220,"Now there were seven brethren: and the first took a wife, and dying left no seed.","Kale waaliwo ab'oluganda musanvu: ow'olubereberye n'awasa omukazi, n'afa, n'atalekaawo zzadde;"
MRK1221,"And the second took her, and died, neither left he any seed: and the third likewise.","ow'okubiri n'amuwasa n'afa, era naye n'atalekaawo zzadde; n'ow'okusatu bw'atyo:"
MRK1222,"And the seven had her, and left no seed: last of all the woman died also.",bonna omusanvu ne batalekaawo zzadde. Oluvannyuma bonna nga baweddewo n'omukazi n'afa.
MRK1223,"In the resurrection therefore, when they shall rise, whose wife shall she be of them? for the seven had her to wife.",Kale bwe balizuukira aliba muka ani ku bo? kubanga bonna omusanvu baamuwasa.
MRK1224,"And Jesus answering said unto them, Do ye not therefore err, because ye know not the scriptures, neither the power of God?",Yesu n'abagamba nti Si kyemuva mukyama nga temumanyi ebyawandiikibwa newakubadde amaanyi ga Katonda?
MRK1225,"For when they shall rise from the dead, they neither marry, nor are given in marriage; but are as the angels which are in heaven.","Kubanga bwe balizuukira mu bafu tebaliwasa, so tebaliwayira; naye baliba nga bamalayika ab'omu ggulu."
MRK1226,"And as touching the dead, that they rise: have ye not read in the book of Moses, how in the bush God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?","Naye eby'abafu okuzuukizibwa; temusomanga mu kitabo kya Musa ku Kisaka, Katonda bwe yamubuulira ng'agamba nti Nze ndi Katonda wa Ibulayimu, era Katonda wa Isaaka, era Katonda wa Yakobo?"
MRK1227,"He is not the God of the dead, but the God of the living: ye therefore do greatly err.","Si Katonda wa bafu, naye wa balamu: mukyama nnyo."
MRK1228,"And one of the scribes came, and having heard them reasoning together, and perceiving that he had answered them well, asked him, Which is the first commandment of all?","Awo omu ku bawandiisi n'ajja n'awulira nga beebuuzaganya bokka na bokka, n'amanya ng'abazzeemu bulungi, n'amubuuza nti Tteeka ki ery'olubereberye ku gonna?"
MRK1229,"And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:","Yesu n'addamu nti Ery'olubereberye lye lino nti Wulira Isiraeri; Mukama Katonda waffe, Mukama ye omu;"
MRK1230,"And thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment.","era yagalanga Mukama Katonda wo n'omutima gwo gwonna, n'obulamu bwo bwonna, n'amagezi go gonna, n'amaanyi go gonna."
MRK1231,"And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these.",Ery'okubiri lye lino nti Yagalanga muliraanwa wo nga bwe weeyagala wekka. Tewali tteeka ddala erisinga ago obukulu.
MRK1232,"And the scribe said unto him, Well, Master, thou hast said the truth: for there is one God; and there is none other but he:","Omuwandiisi n'amugamba nti Mazima, Omuyigiriza, oyogedde bulungi nga Katonda ali omu so tewali mulala wabula ye:"
MRK1233,"And to love him with all the heart, and with all the understanding, and with all the soul, and with all the strength, and to love his neighbour as himself, is more than all whole burnt offerings and sacrifices.","n'okumwagala n'omutima gwonna, n'okutegeera kwonna, n'amaanyi gonna, n'okwagala muliraanwa wo nga bwe weeyagala wekka kusinga nnyo ebiweebwayo byonna ebiramba ebyokebwa ne ssaddaaka."
MRK1234,"And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question.","Awo Yesu bwe yalaba ng'amuzzeemu ng'omutegeevu, n'amugamba nti Toli wala obwakabaka bwa Katonda. Awo ne wataba muntu ayaŋŋanga okumubuuza nate."
MRK1235,"And Jesus answered and said, while he taught in the temple, How say the scribes that Christ is the son of David?",Yesu n'addamu n'agamba ng'ayigiriza mu yeekaalu nti Abawandiisi ekibagambya ki nti Kristo mwana wa Dawudi?
MRK1236,"For David himself said by the Holy Ghost, The LORD said to my Lord, Sit thou on my right hand, till I make thine enemies thy footstool.","Dawudi yennyini yagamba mu Mwoyo Omutukuvu nti Mukama yagamba Mukama wange nti Tuula ku mukono gwange ogwa ddyo, Okutuusa lwe ndifuula abalabe bo entebe y'ebigere byo."
MRK1237,David therefore himself calleth him Lord; and whence is he then his son? And the common people heard him gladly.,"Dawudi yennyini amuyita Mukama we, abeera atya omwana we? Ab'omu kibiina ne bamuwulira n'essanyu."
MRK1238,"And he said unto them in his doctrine, Beware of the scribes, which love to go in long clothing, and love salutations in the marketplaces,","Awo mu kuyigiriza kwe n'abagamba nti Mwekuume abawandiisi abaagala okutambula nga bambadde engoye empanvu, n'okulamusibwa mu butale,"
MRK1239,"And the chief seats in the synagogues, and the uppermost rooms at feasts:",n'entebe ez'oku manjo mu makuŋŋaaniro n'ebifo eby'ekitiibwa mu mbaga;
MRK1240,"Which devour widows' houses, and for a pretence make long prayers: these shall receive greater damnation.","abalya ennyumba za bannamwandu, era abasaba ennyo mu bunnanfuusi; abo balizza omusango ogusinga obunene."
MRK1241,"And Jesus sat over against the treasury, and beheld how the people cast money into the treasury: and many that were rich cast in much.","N'atuula okwolekera eggwanika, n'alaba ebibiina bwe bisuula effeeza mu ggwanika: bangi abaali abagagga abaasuulamu ebingi."
MRK1242,"And there came a certain poor widow, and she threw in two mites, which make a farthing.","Awo nnamwandu omu omwavu n'ajja, n'asuulamu ebitundu bibiri, ye kodulante."
MRK1243,"And he called unto him his disciples, and saith unto them, Verily I say unto you, That this poor widow hath cast more in, than all they which have cast into the treasury:","N'ayita abayigirizwa be, n'abagamba nti Mazima mbagamba nti Nnamwandu ono omwavu asuddemu bingi okusinga bonna abasuula mu ggwanika:"
MRK1244,"For all they did cast in of their abundance; but she of her want did cast in all that she had, even all her living.",kubanga bonna basuddemu ku bibafikkiridde; naye oyo mu kwetaaga kwe asuddemu byonna by'ali nabyo; bwe bulamu bwe bwonna.
MRK41,"And he began again to teach by the sea side: and there was gathered unto him a great multitude, so that he entered into a ship, and sat in the sea; and the whole multitude was by the sea on the land.","Ate n'atanula okuyigiriza ku lubalama lw'ennyanja. Ekibiina kinene nnyo ne kikuŋŋaanira w'ali, n'okusaabala n'asaabala mu lyato, n'atuula mu nnyanja; ekibiina kyonna ne kibeera ku nnyanja ku ttale."
MRK42,"And he taught them many things by parables, and said unto them in his doctrine,","N'abayigiriza bingi mu ngero, n'abagamba mu kuyigiriza kwe nti"
MRK43,"Hearken; Behold, there went out a sower to sow:","Muwulire; laba, omusizi yafuluma okusiga:"
MRK44,"And it came to pass, as he sowed, some fell by the way side, and the fowls of the air came and devoured it up.","awo olwatuuka bwe yali ng'asiga, ezimu ne zigwa ku mabbali g'ekkubo, ennyonyi ne zijja ne zizirya."
MRK45,"And some fell on stony ground, where it had not much earth; and immediately it sprang up, because it had no depth of earth:","N'endala ne zigwa awali enjazi awatali ttaka lingi; amangu ago ne zimera, kubanga ettaka teryali ggwanvu:"
MRK46,"But when the sun was up, it was scorched; and because it had no root, it withered away.","enjuba bwe yayaka, ne ziwotookerera; era kubanga tezaalina mmizi, ne zikala."
MRK47,"And some fell among thorns, and the thorns grew up, and choked it, and it yielded no fruit.","Endala ne zigwa awali amaggwa, amaggwa ne galoka, ne gazizisa ne zitabala bibala."
MRK48,"And other fell on good ground, and did yield fruit that sprang up and increased; and brought forth, some thirty, and some sixty, and some an hundred.","Endala ne zigwa ku ttaka eddungi, ne zibala ebibala ne bikula ne byeyongera; ne zizaala okutuusa amakumi asatu, era okutuusa enkaaga, era okutuusa ekikumi."
MRK49,"And he said unto them, He that hath ears to hear, let him hear.","N'agamba nti Alina amatu ag'okuwulira, awulire:"
MRK410,"And when he was alone, they that were about him with the twelve asked of him the parable.","Awo bwe yali yekka, abo abaali bamwetoolodde n'ekkumi n'ababiri ne bamubuuza ku ngero ezo."
MRK411,"And he said unto them, Unto you it is given to know the mystery of the kingdom of God: but unto them that are without, all these things are done in parables:","N'abagamba nti Mmwe mwaweebwa ekyama ky'obwakabaka bwa Katonda: naye bali ab'ebweru, byonna bibabeerera mu ngero:"
MRK412,"That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them.","bwe balaba balabe, ne bateetegereza; era bwe bawulira bawulire, ne batategeera; mpozzi baleme okukyuka nate, okusonyiyibwa."
MRK413,"And he said unto them, Know ye not this parable? and how then will ye know all parables?",N'abagamba nti Temumanyi lugero luno? kale mulitegeera mutya engero zonna?
MRK414,The sower soweth the word.,Omusizi asiga kigambo.
MRK415,"And these are they by the way side, where the word is sown; but when they have heard, Satan cometh immediately, and taketh away the word that was sown in their hearts.","Bano be b'oku mabbali g'ekkubo, ekigambo we kisigibwa; awo bwe bawulira, amangu ago Setaani n'ajja n'aggyamu ekigambo ekyasigibwa mu bo."
MRK416,"And these are they likewise which are sown on stony ground; who, when they have heard the word, immediately receive it with gladness;","Ne bano bwe batyo be bali abasigibwa awali enjazi, abo, bwe bawulira ekigambo, amangu ago bakikkiriza n'essanyu;"
MRK417,"And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended.","ne bataba na mmizi mu bo, naye bamala ekiseera kitono; awo bwe wabaawo okulaba ennaku oba kuyigganyizibwa olw'ekigambo, amangu ago beesittala."
MRK418,"And these are they which are sown among thorns; such as hear the word,","N'abalala be bali abasigibwa awali amaggwa; abo, bwe bawulira ekigambo,"
MRK419,"And the cares of this world, and the deceitfulness of riches, and the lusts of other things entering in, choke the word, and it becometh unfruitful.","awo emitawaana gy'ensi n'obulimba bw'obugagga, n'okwegomba kw'ebirala byonna bwe biyingira bizisa ekigambo, ne kitabala;"
MRK420,"And these are they which are sown on good ground; such as hear the word, and receive it, and bring forth fruit, some thirtyfold, some sixty, and some an hundred.","n'abo be bali abasigibwa awali ettaka eddungi; abawulira ekigambo, abakikkiriza, ababala ebibala amakumi asatu, n'enkaaga, n'ekikumi."
MRK421,"And he said unto them, Is a candle brought to be put under a bushel, or under a bed? and not to be set on a candlestick?","N'abagamba nti Ettabaaza ereetebwa okuteekebwa munda w'ekibbo, nantiki munda w'ekitanda, n'eteteekebwa waggulu ku kikondo?"
MRK422,"For there is nothing hid, which shall not be manifested; neither was any thing kept secret, but that it should come abroad.","Kubanga tewali kikwekebwa, naye kirimanyibwa; newakubadde ekyakisibwa, naye kirirabika lwatu."
MRK423,"If any man have ears to hear, let him hear.","Buli alina amatu ag'okuwulira, awulire."
MRK424,"And he said unto them, Take heed what ye hear: with what measure ye mete, it shall be measured to you: and unto you that hear shall more be given.",N'abagamba nti Mwekuume kye muwulira: mu kigera mwe mugera nammwe mwe muligererwa: era mulyongerwako.
MRK425,"For he that hath, to him shall be given: and he that hath not, from him shall be taken even that which he hath.","Kubanga, alina aliweebwa: n'atalina aliggibwako n'ekyo ky'ali nakyo."
MRK426,"And he said, So is the kingdom of God, as if a man should cast seed into the ground;","N'agamba nti Obwakabaka bwa Katonda bwe buti, ng'omuntu bw'amansa ensigo ku ttaka;"
MRK427,"And should sleep, and rise night and day, and the seed should spring and grow up, he knoweth not how.","ne yeebaka n'agolokoka ekiro n'emisana, n'ensigo n'emeruka n'ekula, ye nga tamanyi bw'emeruse."
MRK428,"For the earth bringeth forth fruit of herself; first the blade, then the ear, after that the full corn in the ear.","Ensi ebala yokka, okusooka kalagala, ate kirimba, ate ŋŋaano enkulu mu kirimba."
MRK429,"But when the fruit is brought forth, immediately he putteth in the sickle, because the harvest is come.","Naye emmere bw'eyengera, amangu ago assaako ekiwabyo, kubanga okukungula kutuuse."
MRK430,"And he said, Whereunto shall we liken the kingdom of God? or with what comparison shall we compare it?",N'agamba nti Tunaabufaananya tutya obwakabaka bwa Katonda? Nantiki tunaabunnyonnyolera ku kifaananyi ki?
MRK431,"It is like a grain of mustard seed, which, when it is sown in the earth, is less than all the seeds that be in the earth:","Bufaanana ng'akaweke aka kaladaali, ako, bwe kasigibwa mu ttaka, newakubadde nga ke katono okukira ensigo zonna eziri mu nsi,"
MRK432,"But when it is sown, it groweth up, and becometh greater than all herbs, and shooteth out great branches; so that the fowls of the air may lodge under the shadow of it.","naye bwe kasigibwa kakula, kaba kanene okukira enva zonna, kasuula amatabi amanene kale era ennyonyi ez'omu bbanga ne ziyinza okutuula wansi w'ekisiikirize kyagwo."
MRK433,"And with many such parables spake he the word unto them, as they were able to hear it.","N'abagamba ekigambo mu ngeri nnyingi ng'ezo, nga bwe bayinza okukiwulira:"
MRK434,"But without a parable spake he not unto them: and when they were alone, he expounded all things to his disciples.",teyayogera nabo awatali lugero: naye n'ategeezanga abayigirizwa be ye byonna mu kyama.
MRK435,"And the same day, when the even was come, he saith unto them, Let us pass over unto the other side.","Awo ku lunaku olwo bwe bwali buwungedde, n'abagamba nti Tuwunguke tutuuke emitala w'eri,"
MRK436,"And when they had sent away the multitude, they took him even as he was in the ship. And there were also with him other little ships.","Bwe baaleka ekibiina, ne bamutwalira mu lyato, nga bwe yali, Era n'amaato amalala gaali naye."
