question,answer
"Can I use an Electronic Fiscal Device (EFD) without a desktop computer for EFRIS?","Yes, an Electronic Fiscal Device (EFD) is a standalone electronic device with an inbuilt fiscal memory, keypad, receipt printer, and SIM/data module that connects directly to URA servers without requiring a desktop computer."
"Je, ninaweza kutumia kifaa cha EFD bila kompyuta kwa ajili ya EFRIS?","Ndiyo, kifaa cha EFD (Electronic Fiscal Device) ni kifaa kinachojitegemea (standalone device) chenye kumbukumbu ya kikodi, kichapishi cha risiti, na moduli ya SIM kadi/intaneti kinachounganishwa moja kwa moja kwenye seva za URA bila kuhitaji kompyuta."
"Nsobola okukozesa ekyuma kya EFD nga sirina kompyuta?","Yee, ekyuma kya Electronic Fiscal Device (EFD) kyuma ekyetongodde (standalone device) ekirina ekyuma ekikwata ebiwandiiko by'omusolo, ekinyiga ebinyigibwa, ekyuma ekikuba lisiiti, ne SIM kadi ey'intaneeti era kiyungibwa butereevu ku seva za URA nga tewetaagisa kompyuta."
"Is EFRIS applicable to small businesses not registered for VAT?","EFRIS is not mandatory for small businesses with annual turnover below the VAT registration threshold of UGX 150,000,000, unless specifically gazetted by the Minister. Non-VAT taxpayers may however register voluntarily to issue e-receipts."
"How does real-time stock and inventory tracking work in EFRIS?","EFRIS includes a stock management module where taxpayers record opening stock, additions through local purchases or customs imports, and deductions from sales. When an e-invoice is issued, stock quantities are automatically updated in real time."
"How do I issue an e-invoice or e-receipt on the EFRIS portal?","To issue an e-invoice or e-receipt: 1) Log in to efris.ura.go.ug and navigate to Invoices Management > Create Invoice / Receipt; 2) For B2B sales, enter the buyer's 10-digit TIN (the portal auto-validates the registered business name); for retail customers, select Walk-in / Consumer; 3) Select items from your stock catalogue mapped to approved URA Commodity Codes; 4) Enter quantity and unit price, verifying the 18% standard VAT rate; 5) Click Save and Issue to produce an authentic voucher with a 20-digit Fiscal Document Number (FDN) and QR code."
"How do I manage stock and inventory on EFRIS?","To manage inventory in EFRIS: 1) Go to Stock Management > Stock In > Stock In Details; 2) Select your stock-in source (Initial Opening Balance, Local Purchases from supplier e-invoices, or Customs ASYCUDA imports); 3) Enter quantities, unit of measure, and URA Commodity Code; 4) Approve the stock-in transaction; 5) Stock quantities automatically deduct in real time as e-invoices are issued."
"How do I create cashier or branch sub-accounts on EFRIS?","To create staff sub-accounts: 1) Log in to efris.ura.go.ug as Master Administrator; 2) Go to System Management > User Management > Sub-Accounts > Add Sub-Account; 3) Enter the cashier's full name, National ID (NIN), mobile phone, and email; 4) Assign the operator to their physical branch or store location; 5) Select role permissions (Cashier or Branch Manager without master administrative privileges); 6) The system generates login credentials allowing staff to issue receipts without accessing sensitive company settings."
"How do I generate an electronic credit note or debit note on EFRIS?","Under URA rules, an issued fiscal invoice cannot be deleted. To adjust or cancel an invoice: 1) Go to efris.ura.go.ug > Invoices Management > Credit Note / Debit Note > Apply for Credit Note; 2) Enter the original 20-digit Fiscal Document Number (FDN); 3) Select the statutory reason (Goods Returned, Price Discount, or Invoicing Error); 4) Enter the adjusted quantities or amounts and submit; 5) For B2B invoices, the buyer receives a notification and must log in to approve the credit note before VAT adjustments reflect."
"How do I validate an EFRIS Fiscal Document Number (FDN)?","To validate an FDN: 1) Go to efris.ura.go.ug or portal.ura.go.ug > Quick Links > FDN Validation; 2) Enter the 20-digit Fiscal Document Number (FDN) printed on the invoice; 3) Enter the verification code printed below the barcode; 4) Click Verify to view genuine seller TIN, buyer TIN, invoice date, total amount, and 18% VAT; 5) Alternatively, scan the printed QR code using the free URA Kakasa mobile app."
"How do I configure and use an Electronic Fiscal Device (EFD) for EFRIS?","To use an EFD: 1) Procure an accredited EFD device from a certified URA vendor; 2) Go to efris.ura.go.ug > System Management > Terminal Management and link the device serial number to your TIN; 3) Insert an active data SIM card and power on the device; 4) Configure your tax rates (18% standard, zero-rated, exempt) and commodity item codes; 5) Issue receipts at checkout; 6) Perform a daily Z-Report at close of business to synchronize daily batches with URA."
"How do I generate sales, stock, or Z-reports on EFRIS?","To generate reports: 1) Log in to efris.ura.go.ug and navigate to Reports Management; 2) Select report type (Daily Sales Summary, Z-Report, Stock Balance Ledger, or Monthly Output VAT Report); 3) Choose your date range and branch location; 4) Click Query / Export to download in Excel or PDF; 5) Use the monthly output VAT totals to reconcile directly with your monthly VAT return (Form DT-1014)."
"Where can I find the list of accredited EFRIS software and ERP integrators?","Visit efris.ura.go.ug > Downloads & Developer Support > Accredited Integrators to access the official published directory of certified POS and ERP vendors. Businesses integrating in-house ERP systems can register on the EFRIS API Developer Sandbox to complete technical certification."
"Where do I download the EFRIS Handbook, user manuals, and brochures?","Go to efris.ura.go.ug > Downloads / Publications to download the Comprehensive EFRIS User Guide, Sector-Specific Manuals (Manufacturing, Retail, Hospitality, Health), Commodity Classification Catalogues, and Desktop Client installation guides."
"How do I authenticate an EFRIS receipt or tax invoice to ensure it is genuine?","Open the free URA Kakasa mobile app on iOS or Android and scan the QR code printed on the receipt, or visit portal.ura.go.ug > e-Services > Document Authentication > select EFRIS Document and enter the 20-digit FDN. If authentic, the portal confirms the genuine seller name, transaction timestamp, and 18% VAT."
"Which additional business sectors are required to use EFRIS effective July 1st 2025?","Per URA Public Notice published August 10-11 2026, effective July 1st 2025, businesses in 12 sectors must use EFRIS: 1) Manufacturing; 2) Mining & Quarrying; 3) Water supply & waste remediation; 4) Electricity, gas & steam supply; 5) Construction; 6) Transportation and storage; 7) Accommodation and food service; 8) ICT; 9) Real estate activities; 10) Professional, scientific & technical; 11) Arts, entertainment & recreation; 12) Wholesale and retail of fuel (all petrol/diesel stations). This applies in addition to mandatory VAT taxpayers."
"What are the sales turnover exemptions for businesses in the 12 gazetted EFRIS sectors?","Under the URA EFRIS public notice, two categories are exempt from mandatory e-invoicing: 1) Small businesses in the 12 gazetted sectors with annual gross turnover of less than UGX 10,000,000 per year; 2) Taxpayers earning annual rental income of less than UGX 2,820,000. Both categories may however enroll voluntarily."
"Are passenger land transport operators (taxis and boda-bodas) required to use EFRIS?","No. In the EFRIS rollout public notice, passenger land transport providers are explicitly excluded. Taxis, boda-bodas, passenger shuttles, buses, and public service passenger transport operators are not mandated to issue EFRIS e-receipts."
"Can expenses without an EFRIS e-invoice be deducted under Section 22(3)(m) of the Income Tax Act?","No. Under Section 22(3)(m) of the Income Tax Act, no business expense deduction shall be allowed for any purchase from a supplier who is required to use EFRIS unless the transaction is supported by an authentic electronic fiscal invoice (e-invoice) or electronic fiscal receipt (e-receipt)."
"What are the penalties under Section 73B of the Tax Procedures Code Act for EFRIS non-compliance?","Under Section 73B of the Tax Procedures Code Act 2014: 1) Failure to adopt EFRIS when gazetted: penal tax equal to tax due or 400 currency points (UGX 8,000,000), whichever is higher; 2) Failure to issue an e-receipt/e-invoice or tampering with an EFD: tax due or 300 currency points (UGX 6,000,000), whichever is higher; 3) Acquiring an unauthenticated EFD: imprisonment up to 3 years or a fine up to 300 currency points (UGX 6,000,000), or both (1 currency point = UGX 20,000)."
"What is the role of Electronic Dispenser Controllers (EDCs) at fuel stations?","Electronic Dispenser Controllers (EDCs) are specialized fiscal devices installed at petrol and diesel stations. The EDC connects directly to fuel pump compressor guns, monitors fuel volume dispensed in real time, and automatically transmits transaction records to connected EFDs to generate instant fiscal e-receipts for every fuel sale."
"How long can the EFRIS Desktop Client and Mobile App operate offline?","According to the official URA EFRIS Handbook and Brochure, the EFRIS Desktop Client software and EFRIS Mobile Application can operate offline for up to five (5) days during internet blackouts. However, once connected, all stored transactions must be synchronized with URA servers."
"Who is the accredited provider of Electronic Fiscal Devices (EFDs) and what is the cost?","As documented in the official URA EFRIS Handbook, Electronic Fiscal Devices (EFDs) are supplied and serviced by Rank Consult, the government-accredited terminal vendor, at a standard device cost of UGX 1.1 million. This acquisition cost is treated as a fully allowable business tax expense deducted when filing annual returns."
"Where can I download the official EFRIS Handbook FY 2026-27 and its multilingual editions?","The official compendium 'EFRIS HANDBOOK FY 2026-27' (4 MB PDF) is downloadable from the URA download repository at https://ura.go.ug/download-category/efris-handbook/. In addition to the English master edition, official translated editions are published in Runyankole (3 MB), Swahili (3 MB), and Luganda (3 MB). Additional guides and sector brochures are accessible under Tax Education at https://ura.go.ug/en/category/domestic-tax/efris-handbook-brochure/."
"What core tax services are available on the URA Domestic Taxes web portal?","The URA Domestic Taxes portal at https://ura.go.ug/en/domestic-taxes/ provides a central gateway for taxpayer services in Uganda, including: 1) Get a TIN (instant individual TIN application, non-individual company TIN, non-resident digital service providers, group TINs); 2) Make a Payment (PRN generation, bank slip printing, credit card/mobile money gateway, expired PRN reactivation); 3) Tax Exemption & Incentives (WHT exemptions, income tax holiday, designated withholding agents); 4) Electronic Fiscal Receipting and Invoicing Solution (EFRIS); 5) Digital Tax Stamps (DTS); 6) Returns Filing (Form DT-1001, DT-1014, DT-1004, DT-1013); 7) Objections and Appeals (Section 24 TPCA); 8) Motor Vehicle licensing and logbook search; 9) Stamp Duty e-certificates; 10) Tax Clearance Certificates (TCC); 11) Whistleblowing and Voluntary Disclosure."
